innovation_id,innovator_id,role,location_match,interest_match,skill_match,suitable
3,1,Financial Analyst,1,1,1,1
3,2,Financial Analyst,0,1,0,0
3,3,Financial Analyst,0,0,0,0
3,4,Financial Analyst,0,1,2,0
3,5,Financial Analyst,1,1,0,0
3,6,Financial Analyst,1,2,1,1
3,7,Financial Analyst,0,1,0,0
3,8,Financial Analyst,0,0,2,0
3,9,Financial Analyst,0,1,1,0
3,10,Financial Analyst,0,1,0,0
3,11,Financial Analyst,0,0,1,0
3,12,Financial Analyst,0,2,1,0
3,13,Financial Analyst,0,1,0,0
3,14,Financial Analyst,0,2,1,0
3,15,Financial Analyst,0,1,1,0
3,16,Financial Analyst,0,1,3,0
3,17,Financial Analyst,0,1,0,0
3,18,Financial Analyst,1,2,0,0
3,19,Financial Analyst,0,2,0,0
3,20,Financial Analyst,0,0,0,0
4,1,Product Manager,1,1,0,0
4,2,Product Manager,0,1,1,0
4,3,Product Manager,0,2,0,0
4,4,Product Manager,1,1,0,0
4,5,Product Manager,1,1,1,1
4,6,Product Manager,0,1,1,0
4,7,Product Manager,1,0,1,0
4,8,Product Manager,0,2,2,0
4,9,Product Manager,0,1,1,0
4,10,Product Manager,1,1,0,0
4,11,Product Manager,0,1,1,0
4,12,Product Manager,0,1,1,0
4,13,Product Manager,1,1,1,1
4,14,Product Manager,1,1,1,1
4,15,Product Manager,0,1,2,0
4,16,Product Manager,0,1,0,0
4,17,Product Manager,1,1,1,1
4,18,Product Manager,0,1,0,0
4,19,Product Manager,0,1,1,0
4,20,Product Manager,0,1,1,0
4,1,Technical Lead,0,1,1,0
4,2,Technical Lead,0,1,0,0
4,3,Technical Lead,0,0,0,0
4,4,Technical Lead,0,1,2,0
4,5,Technical Lead,0,2,0,0
4,6,Technical Lead,0,1,0,0
4,7,Technical Lead,0,1,0,0
4,8,Technical Lead,1,1,0,0
4,9,Technical Lead,0,1,0,0
4,10,Technical Lead,0,1,0,0
4,11,Technical Lead,0,2,2,0
4,12,Technical Lead,0,1,1,0
4,13,Technical Lead,0,1,1,0
4,14,Technical Lead,1,0,0,0
4,15,Technical Lead,0,1,2,0
4,16,Technical Lead,1,1,2,1
4,17,Technical Lead,1,1,1,1
4,18,Technical Lead,1,2,0,0
4,19,Technical Lead,0,1,1,0
4,20,Technical Lead,0,1,1,0
4,1,UI/UX Designer,1,1,1,1
4,2,UI/UX Designer,0,1,0,0
4,3,UI/UX Designer,0,2,3,0
4,4,UI/UX Designer,0,1,0,0
4,5,UI/UX Designer,0,1,1,0
4,6,UI/UX Designer,1,1,0,0
4,7,UI/UX Designer,0,1,1,0
4,8,UI/UX Designer,0,1,0,0
4,9,UI/UX Designer,0,1,0,0
4,10,UI/UX Designer,0,1,0,0
4,11,UI/UX Designer,1,1,1,1
4,12,UI/UX Designer,0,1,0,0
4,13,UI/UX Designer,0,0,0,0
4,14,UI/UX Designer,0,1,1,0
4,15,UI/UX Designer,0,1,1,0
4,16,UI/UX Designer,0,0,1,0
4,17,UI/UX Designer,1,0,1,0
4,18,UI/UX Designer,1,1,0,0
4,19,UI/UX Designer,0,2,0,0
4,20,UI/UX Designer,1,1,1,1
4,1,Financial Analyst,0,1,1,0
4,2,Financial Analyst,1,1,1,1
4,3,Financial Analyst,0,0,2,0
4,4,Financial Analyst,1,1,2,1
4,5,Financial Analyst,1,1,0,0
4,6,Financial Analyst,1,1,0,0
4,7,Financial Analyst,0,1,0,0
4,8,Financial Analyst,1,1,1,1
4,9,Financial Analyst,0,1,1,0
4,10,Financial Analyst,0,0,2,0
4,11,Financial Analyst,0,1,0,0
4,12,Financial Analyst,0,1,0,0
4,13,Financial Analyst,1,0,1,0
4,14,Financial Analyst,0,1,2,0
4,15,Financial Analyst,1,0,1,0
4,16,Financial Analyst,0,1,1,0
4,17,Financial Analyst,0,1,0,0
4,18,Financial Analyst,1,1,1,1
4,19,Financial Analyst,0,1,1,0
4,20,Financial Analyst,0,0,0,0
5,1,Product Manager,0,1,2,0
5,2,Product Manager,0,1,0,0
5,3,Product Manager,0,0,1,0
5,4,Product Manager,0,1,0,0
5,5,Product Manager,0,2,0,0
5,6,Product Manager,0,1,0,0
5,7,Product Manager,0,1,2,0
5,8,Product Manager,0,1,0,0
5,9,Product Manager,1,2,0,0
5,10,Product Manager,1,1,1,1
5,11,Product Manager,0,0,0,0
5,12,Product Manager,1,1,0,0
5,13,Product Manager,0,1,1,0
5,14,Product Manager,0,0,1,0
5,15,Product Manager,1,0,0,0
5,16,Product Manager,0,2,0,0
5,17,Product Manager,0,1,2,0
5,18,Product Manager,0,0,2,0
5,19,Product Manager,0,0,0,0
5,20,Product Manager,0,1,1,0
5,1,Technical Lead,0,1,0,0
5,2,Technical Lead,0,1,1,0
5,3,Technical Lead,0,2,0,0
5,4,Technical Lead,0,0,1,0
5,5,Technical Lead,0,1,0,0
5,6,Technical Lead,0,1,1,0
5,7,Technical Lead,0,1,1,0
5,8,Technical Lead,0,2,0,0
5,9,Technical Lead,1,1,0,0
5,10,Technical Lead,0,0,1,0
5,11,Technical Lead,1,0,0,0
5,12,Technical Lead,1,1,0,0
5,13,Technical Lead,0,1,2,0
5,14,Technical Lead,1,1,1,1
5,15,Technical Lead,1,0,2,0
5,16,Technical Lead,0,2,1,0
5,17,Technical Lead,0,1,1,0
5,18,Technical Lead,1,1,0,0
5,19,Technical Lead,0,1,1,0
5,20,Technical Lead,1,1,0,0
5,1,UI/UX Designer,0,1,1,0
5,2,UI/UX Designer,0,1,0,0
5,3,UI/UX Designer,0,0,0,0
5,4,UI/UX Designer,1,1,2,1
5,5,UI/UX Designer,0,0,0,0
5,6,UI/UX Designer,0,1,0,0
5,7,UI/UX Designer,0,0,1,0
5,8,UI/UX Designer,0,1,0,0
5,9,UI/UX Designer,0,1,1,0
5,10,UI/UX Designer,0,1,1,0
5,11,UI/UX Designer,0,1,1,0
5,12,UI/UX Designer,1,1,1,1
5,13,UI/UX Designer,1,1,1,1
5,14,UI/UX Designer,0,1,1,0
5,15,UI/UX Designer,1,2,0,0
5,16,UI/UX Designer,0,1,1,0
5,17,UI/UX Designer,0,1,0,0
5,18,UI/UX Designer,0,1,1,0
5,19,UI/UX Designer,0,1,0,0
5,20,UI/UX Designer,0,2,1,0
5,1,Financial Analyst,0,1,2,0
5,2,Financial Analyst,0,0,0,0
5,3,Financial Analyst,1,0,1,0
5,4,Financial Analyst,0,1,0,0
5,5,Financial Analyst,0,1,0,0
5,6,Financial Analyst,0,1,1,0
5,7,Financial Analyst,0,1,2,0
5,8,Financial Analyst,0,1,1,0
5,9,Financial Analyst,0,0,1,0
5,10,Financial Analyst,1,0,0,0
5,11,Financial Analyst,0,1,1,0
5,12,Financial Analyst,0,1,1,0
5,13,Financial Analyst,0,1,2,0
5,14,Financial Analyst,0,2,1,0
5,15,Financial Analyst,1,1,2,1
5,16,Financial Analyst,0,1,2,0
5,17,Financial Analyst,0,1,1,0
5,18,Financial Analyst,0,1,0,0
5,19,Financial Analyst,1,1,0,0
5,20,Financial Analyst,0,1,1,0
6,1,Product Manager,0,1,1,0
6,2,Product Manager,0,1,1,0
6,3,Product Manager,1,2,1,1
6,4,Product Manager,1,1,1,1
6,5,Product Manager,1,0,0,0
6,6,Product Manager,0,1,2,0
6,7,Product Manager,0,0,2,0
6,8,Product Manager,0,0,0,0
6,9,Product Manager,0,2,1,0
6,10,Product Manager,0,1,1,0
6,11,Product Manager,0,2,0,0
6,12,Product Manager,0,2,2,0
6,13,Product Manager,0,1,1,0
6,14,Product Manager,1,2,1,1
6,15,Product Manager,0,1,2,0
6,16,Product Manager,0,1,0,0
6,17,Product Manager,0,1,1,0
6,18,Product Manager,0,0,1,0
6,19,Product Manager,1,1,0,0
6,20,Product Manager,0,1,0,0
6,1,Technical Lead,0,1,1,0
6,2,Technical Lead,0,1,1,0
6,3,Technical Lead,1,0,0,0
6,4,Technical Lead,0,1,1,0
6,5,Technical Lead,0,0,2,0
6,6,Technical Lead,0,1,0,0
6,7,Technical Lead,0,2,1,0
6,8,Technical Lead,0,0,0,0
6,9,Technical Lead,0,1,1,0
6,10,Technical Lead,1,1,1,1
6,11,Technical Lead,0,1,0,0
6,12,Technical Lead,0,0,1,0
6,13,Technical Lead,0,1,0,0
6,14,Technical Lead,0,1,0,0
6,15,Technical Lead,0,0,1,0
6,16,Technical Lead,0,1,1,0
6,17,Technical Lead,1,1,1,1
6,18,Technical Lead,0,1,0,0
6,19,Technical Lead,1,2,0,0
6,20,Technical Lead,1,1,1,1
6,1,UI/UX Designer,0,1,1,0
6,2,UI/UX Designer,1,2,0,0
6,3,UI/UX Designer,1,1,1,1
6,4,UI/UX Designer,1,1,1,1
6,5,UI/UX Designer,1,1,0,0
6,6,UI/UX Designer,0,1,0,0
6,7,UI/UX Designer,0,1,1,0
6,8,UI/UX Designer,1,1,1,1
6,9,UI/UX Designer,0,1,0,0
6,10,UI/UX Designer,0,1,1,0
6,11,UI/UX Designer,0,1,2,0
6,12,UI/UX Designer,1,1,2,1
6,13,UI/UX Designer,0,1,1,0
6,14,UI/UX Designer,0,1,0,0
6,15,UI/UX Designer,0,1,0,0
6,16,UI/UX Designer,0,1,0,0
6,17,UI/UX Designer,1,0,1,0
6,18,UI/UX Designer,1,2,0,0
6,19,UI/UX Designer,1,1,0,0
6,20,UI/UX Designer,1,0,2,0
6,1,Financial Analyst,0,1,0,0
6,2,Financial Analyst,0,1,0,0
6,3,Financial Analyst,1,1,0,0
6,4,Financial Analyst,0,0,1,0
6,5,Financial Analyst,0,1,2,0
6,6,Financial Analyst,0,0,0,0
6,7,Financial Analyst,0,1,1,0
6,8,Financial Analyst,0,0,0,0
6,9,Financial Analyst,0,2,2,0
6,10,Financial Analyst,1,1,1,1
6,11,Financial Analyst,0,1,0,0
6,12,Financial Analyst,0,1,0,0
6,13,Financial Analyst,0,2,0,0
6,14,Financial Analyst,0,1,1,0
6,15,Financial Analyst,1,2,0,0
6,16,Financial Analyst,1,0,2,0
6,17,Financial Analyst,1,2,1,1
6,18,Financial Analyst,1,1,0,0
6,19,Financial Analyst,0,1,0,0
6,20,Financial Analyst,1,1,0,0
7,1,Product Manager,1,1,2,1
7,2,Product Manager,0,2,1,0
7,3,Product Manager,1,1,0,0
7,4,Product Manager,0,1,0,0
7,5,Product Manager,0,1,2,0
7,6,Product Manager,0,1,1,0
7,7,Product Manager,1,1,1,1
7,8,Product Manager,0,1,2,0
7,9,Product Manager,0,2,2,0
7,10,Product Manager,1,1,1,1
7,11,Product Manager,0,1,1,0
7,12,Product Manager,0,1,1,0
7,13,Product Manager,0,1,0,0
7,14,Product Manager,0,1,0,0
7,15,Product Manager,1,1,2,1
7,16,Product Manager,1,1,0,0
7,17,Product Manager,0,2,0,0
7,18,Product Manager,0,1,1,0
7,19,Product Manager,0,0,1,0
7,20,Product Manager,1,2,1,1
7,1,Technical Lead,0,1,0,0
7,2,Technical Lead,0,1,1,0
7,3,Technical Lead,1,1,1,1
7,4,Technical Lead,0,1,0,0
7,5,Technical Lead,0,1,1,0
7,6,Technical Lead,0,1,0,0
7,7,Technical Lead,1,1,0,0
7,8,Technical Lead,1,2,0,0
7,9,Technical Lead,0,1,1,0
7,10,Technical Lead,0,0,0,0
7,11,Technical Lead,0,1,0,0
7,12,Technical Lead,1,1,1,1
7,13,Technical Lead,0,1,0,0
7,14,Technical Lead,0,1,0,0
7,15,Technical Lead,0,0,0,0
7,16,Technical Lead,0,1,2,0
7,17,Technical Lead,0,2,0,0
7,18,Technical Lead,0,2,0,0
7,19,Technical Lead,0,1,1,0
7,20,Technical Lead,0,1,1,0
7,1,UI/UX Designer,1,2,2,1
7,2,UI/UX Designer,0,1,1,0
7,3,UI/UX Designer,1,0,1,0
7,4,UI/UX Designer,0,0,1,0
7,5,UI/UX Designer,0,1,1,0
7,6,UI/UX Designer,1,0,1,0
7,7,UI/UX Designer,1,0,0,0
7,8,UI/UX Designer,0,0,0,0
7,9,UI/UX Designer,0,1,1,0
7,10,UI/UX Designer,0,1,0,0
7,11,UI/UX Designer,0,2,0,0
7,12,UI/UX Designer,0,1,1,0
7,13,UI/UX Designer,0,1,2,0
7,14,UI/UX Designer,0,1,0,0
7,15,UI/UX Designer,1,1,1,1
7,16,UI/UX Designer,0,1,1,0
7,17,UI/UX Designer,0,1,1,0
7,18,UI/UX Designer,0,1,1,0
7,19,UI/UX Designer,0,2,1,0
7,20,UI/UX Designer,0,1,0,0
7,1,Financial Analyst,0,1,2,0
7,2,Financial Analyst,0,1,0,0
7,3,Financial Analyst,1,1,2,1
7,4,Financial Analyst,0,1,0,0
7,5,Financial Analyst,0,1,1,0
7,6,Financial Analyst,0,1,1,0
7,7,Financial Analyst,0,1,1,0
7,8,Financial Analyst,1,2,0,0
7,9,Financial Analyst,0,1,0,0
7,10,Financial Analyst,0,1,0,0
7,11,Financial Analyst,0,0,0,0
7,12,Financial Analyst,0,1,1,0
7,13,Financial Analyst,0,1,1,0
7,14,Financial Analyst,0,0,1,0
7,15,Financial Analyst,1,1,2,1
7,16,Financial Analyst,1,1,0,0
7,17,Financial Analyst,0,1,1,0
7,18,Financial Analyst,0,1,0,0
7,19,Financial Analyst,1,2,2,1
7,20,Financial Analyst,0,1,1,0
8,1,Product Manager,0,1,1,0
8,2,Product Manager,1,1,0,0
8,3,Product Manager,0,1,0,0
8,4,Product Manager,0,1,1,0
8,5,Product Manager,1,2,1,1
8,6,Product Manager,1,1,0,0
8,7,Product Manager,0,0,2,0
8,8,Product Manager,1,1,1,1
8,9,Product Manager,1,1,2,1
8,10,Product Manager,0,2,0,0
8,11,Product Manager,0,1,2,0
8,12,Product Manager,0,2,1,0
8,13,Product Manager,1,1,1,1
8,14,Product Manager,0,1,1,0
8,15,Product Manager,0,1,0,0
8,16,Product Manager,0,1,2,0
8,17,Product Manager,1,1,2,1
8,18,Product Manager,1,1,2,1
8,19,Product Manager,0,1,1,0
8,20,Product Manager,0,0,0,0
8,1,Technical Lead,0,1,0,0
8,2,Technical Lead,0,1,1,0
8,3,Technical Lead,1,2,1,1
8,4,Technical Lead,0,1,0,0
8,5,Technical Lead,1,0,2,0
8,6,Technical Lead,0,1,0,0
8,7,Technical Lead,0,1,0,0
8,8,Technical Lead,1,0,1,0
8,9,Technical Lead,0,2,0,0
8,10,Technical Lead,0,1,0,0
8,11,Technical Lead,0,1,1,0
8,12,Technical Lead,0,1,0,0
8,13,Technical Lead,0,1,1,0
8,14,Technical Lead,1,1,1,1
8,15,Technical Lead,0,0,0,0
8,16,Technical Lead,0,2,1,0
8,17,Technical Lead,0,1,2,0
8,18,Technical Lead,1,1,1,1
8,19,Technical Lead,1,1,0,0
8,20,Technical Lead,0,1,1,0
8,1,UI/UX Designer,0,2,1,0
8,2,UI/UX Designer,1,2,0,0
8,3,UI/UX Designer,1,1,2,1
8,4,UI/UX Designer,0,1,0,0
8,5,UI/UX Designer,1,1,0,0
8,6,UI/UX Designer,1,2,2,1
8,7,UI/UX Designer,0,2,1,0
8,8,UI/UX Designer,1,0,0,0
8,9,UI/UX Designer,0,0,2,0
8,10,UI/UX Designer,0,1,1,0
8,11,UI/UX Designer,0,0,1,0
8,12,UI/UX Designer,1,1,1,1
8,13,UI/UX Designer,1,1,0,0
8,14,UI/UX Designer,0,0,2,0
8,15,UI/UX Designer,0,1,0,0
8,16,UI/UX Designer,1,1,1,1
8,17,UI/UX Designer,0,1,1,0
8,18,UI/UX Designer,0,1,1,0
8,19,UI/UX Designer,0,1,0,0
8,20,UI/UX Designer,1,0,1,0
8,1,Financial Analyst,0,2,1,0
8,2,Financial Analyst,1,2,0,0
8,3,Financial Analyst,1,1,1,1
8,4,Financial Analyst,0,1,0,0
8,5,Financial Analyst,0,0,2,0
8,6,Financial Analyst,0,1,1,0
8,7,Financial Analyst,0,0,0,0
8,8,Financial Analyst,0,1,0,0
8,9,Financial Analyst,1,2,1,1
8,10,Financial Analyst,0,1,1,0
8,11,Financial Analyst,0,1,0,0
8,12,Financial Analyst,0,1,1,0
8,13,Financial Analyst,1,0,1,0
8,14,Financial Analyst,1,1,1,1
8,15,Financial Analyst,0,1,0,0
8,16,Financial Analyst,0,1,0,0
8,17,Financial Analyst,0,0,1,0
8,18,Financial Analyst,0,1,0,0
8,19,Financial Analyst,0,1,0,0
8,20,Financial Analyst,0,0,0,0
9,1,Product Manager,1,2,1,1
9,2,Product Manager,0,1,0,0
9,3,Product Manager,0,1,0,0
9,4,Product Manager,0,1,0,0
9,5,Product Manager,0,1,1,0
9,6,Product Manager,0,1,1,0
9,7,Product Manager,1,2,0,0
9,8,Product Manager,1,1,0,0
9,9,Product Manager,1,1,3,1
9,10,Product Manager,0,1,0,0
9,11,Product Manager,0,0,1,0
9,12,Product Manager,1,2,0,0
9,13,Product Manager,0,1,0,0
9,14,Product Manager,1,1,1,1
9,15,Product Manager,0,1,1,0
9,16,Product Manager,0,1,1,0
9,17,Product Manager,1,2,0,0
9,18,Product Manager,1,1,1,1
9,19,Product Manager,0,1,0,0
9,20,Product Manager,1,1,2,1
9,1,Technical Lead,1,1,0,0
9,2,Technical Lead,0,0,0,0
9,3,Technical Lead,0,1,0,0
9,4,Technical Lead,0,1,2,0
9,5,Technical Lead,1,1,0,0
9,6,Technical Lead,0,0,0,0
9,7,Technical Lead,0,1,1,0
9,8,Technical Lead,0,1,1,0
9,9,Technical Lead,0,1,1,0
9,10,Technical Lead,0,1,0,0
9,11,Technical Lead,0,1,1,0
9,12,Technical Lead,0,1,0,0
9,13,Technical Lead,1,1,0,0
9,14,Technical Lead,0,1,1,0
9,15,Technical Lead,0,1,1,0
9,16,Technical Lead,0,1,1,0
9,17,Technical Lead,1,0,1,0
9,18,Technical Lead,1,2,0,0
9,19,Technical Lead,0,1,2,0
9,20,Technical Lead,1,1,1,1
9,1,UI/UX Designer,0,0,0,0
9,2,UI/UX Designer,1,1,0,0
9,3,UI/UX Designer,0,0,0,0
9,4,UI/UX Designer,0,1,1,0
9,5,UI/UX Designer,0,1,1,0
9,6,UI/UX Designer,0,1,1,0
9,7,UI/UX Designer,0,1,0,0
9,8,UI/UX Designer,0,0,2,0
9,9,UI/UX Designer,0,1,1,0
9,10,UI/UX Designer,0,1,0,0
9,11,UI/UX Designer,0,1,1,0
9,12,UI/UX Designer,0,1,1,0
9,13,UI/UX Designer,1,0,1,0
9,14,UI/UX Designer,0,2,1,0
9,15,UI/UX Designer,0,1,0,0
9,16,UI/UX Designer,0,1,1,0
9,17,UI/UX Designer,0,1,0,0
9,18,UI/UX Designer,0,1,1,0
9,19,UI/UX Designer,0,1,1,0
9,20,UI/UX Designer,0,1,0,0
9,1,Financial Analyst,0,1,1,0
9,2,Financial Analyst,0,2,1,0
9,3,Financial Analyst,0,0,2,0
9,4,Financial Analyst,0,2,0,0
9,5,Financial Analyst,0,1,0,0
9,6,Financial Analyst,1,1,2,1
9,7,Financial Analyst,0,1,0,0
9,8,Financial Analyst,1,1,2,1
9,9,Financial Analyst,1,0,1,0
9,10,Financial Analyst,0,1,0,0
9,11,Financial Analyst,0,2,1,0
9,12,Financial Analyst,0,1,2,0
9,13,Financial Analyst,1,1,2,1
9,14,Financial Analyst,0,1,0,0
